name,psnr_denoised,ssim_denoised,psnr_noisy,ssim_noisy
rec_00416.tif,8.524213829534855,0.20854412533388433,20.39790838030224,0.4399621569958486
rec_00461.tif,8.551558592719532,0.20853745005998334,20.462163653295864,0.4413899867481098
rec_00466.tif,8.554473687231017,0.20853850692363124,20.466671237896,0.44026587199696254
rec_00476.tif,8.561749957501304,0.20853691405250951,20.48463929086808,0.4402656922896027
rec_00481.tif,8.566093381199849,0.20853400404859498,20.48854350804705,0.43999544679187835
rec_00621.tif,8.607052946043419,0.20858243334731444,20.660654750905863,0.44370451336678446
rec_00636.tif,8.609142007632624,0.2085883683112773,20.68017938207457,0.44335555646115543
rec_00661.tif,8.60470008903861,0.2085996769790743,20.71201668990342,0.4443687363215987
rec_00686.tif,8.604940589194833,0.20861041834631783,20.760664978746256,0.44690949160136256
rec_00756.tif,8.640381793519312,0.20857711978158402,20.805894906152403,0.44912174963907814
rec_00796.tif,8.655433374645845,0.2085655226880214,20.791946201360247,0.44915088352638405
rec_00806.tif,8.642184327534466,0.20857044199052305,20.791211031267913,0.45044567235572164
rec_00906.tif,8.565102563178948,0.20859253161956934,20.730917894372965,0.4474339426872702
rec_00956.tif,8.50960032623025,0.20858510727069907,20.693648415934945,0.4489543125987847
rec_00961.tif,8.502414305421603,0.20858556579133847,20.688200520620885,0.449243135916486
rec_00971.tif,8.488575579501246,0.20858598247064417,20.67296475422978,0.4484789385633795
rec_00996.tif,8.446829168662038,0.20858612200903218,20.64172032344971,0.44815630095541625
rec_01026.tif,8.411137841746928,0.20857173070649812,20.606116567008932,0.4477969187736908
rec_01101.tif,8.334859234179522,0.208527165022831,20.490961608468304,0.4432213380189912
rec_01111.tif,8.327254284058977,0.2085277888060339,20.468474874994612,0.4415279810397782
rec_01271.tif,8.40374903022781,0.20847026077050426,20.449714692397638,0.43973711747919403
rec_01471.tif,8.236234092181805,0.20847382484988722,20.22423138962507,0.4369523549807216
rec_01481.tif,8.201224959010048,0.20847154992544895,20.191495982814914,0.4366614631460216
rec_01546.tif,8.06183025446554,0.20847486632945178,20.07424305713661,0.4349030361270528
rec_01691.tif,8.156725404635147,0.2084846921582259,20.173849483476932,0.43524411682587083
rec_01796.tif,8.167407610934168,0.2085012177637902,20.196249139167488,0.4358081860872139
rec_01836.tif,8.207615557705653,0.20848585936666852,20.21719141114029,0.4368638118282342
rec_01906.tif,8.234720309850285,0.20849769828968637,20.191138786540858,0.4329557914221456
rec_01911.tif,8.23501371097822,0.20849904967601016,20.178968775344153,0.43327131111328265
rec_01941.tif,8.256310794383268,0.20850765320397316,20.172526204431463,0.4322913563109409
rec_02036.tif,8.280985313361992,0.20851660658421198,20.18313382881867,0.433570859018261
rec_02061.tif,8.304321928845525,0.20851512771016617,20.170031749085613,0.4335027188999707
rec_02131.tif,8.343888447517768,0.20848547382857058,20.156945337790475,0.43442083117066815
rec_02186.tif,8.330281912527477,0.20851520794674241,20.126318762062073,0.4298885306536293
rec_02196.tif,8.331916997472323,0.20850465073904412,20.11478195432673,0.4300776576850119
rec_02231.tif,8.320114444278975,0.20851715263879506,20.100528178947425,0.43078761605578164
rec_02256.tif,8.335031269791543,0.20851296983276973,20.086961558277,0.4314178604435382
rec_02286.tif,8.347463047716499,0.20850784541371611,20.0830995322433,0.43245733560081834
rec_02296.tif,8.354781984590344,0.20850736895069108,20.079422803910404,0.43188504448145676
rec_02351.tif,8.371673670857092,0.20849256537191985,20.069794407640615,0.4315318832243733
rec_02366.tif,8.372686210442728,0.20849230474534616,20.068212121783763,0.43177749330751325
rec_02411.tif,8.39982144491925,0.20855091293362849,20.049637695630302,0.42839783991607977
