sigma_fraction,psnr_denoised,ssim_denoised,psnr_noisy,ssim_noisy
0.01,8.524250897937204,0.2085453836323636,40.497955333381924,0.95698839335652
0.03,8.524250738540038,0.2085454063049118,30.961296459946965,0.7969869554828026
0.05,8.52425027694995,0.208545426146819,26.53335263096075,0.6673849979284846
0.1,8.52424919007595,0.20854546683244168,20.545486137442907,0.42478678100814193
0.15,8.524249077741574,0.20854552516364191,17.093377315590285,0.2751385041284912
0.2,8.524247818631522,0.20854554792747182,14.756764426430045,0.18855642546677234
0.3,8.524245066352607,0.20854555840769262,11.84371097747805,0.10519054187738261
